"path","lines","language","area","size_band","review_action"
"internal/storage/workspace/history_normalize_test.go","360","go","storage","normal","no-size-signal"
"internal/service/agent/service_prompt_test.go","359","go","service","normal","no-size-signal"
"internal/cli/command_room.go","222","go","entrypoint","normal","no-size-signal"
"internal/service/provider/catalog_provider.go","355","go","service","normal","no-size-signal"
"web/src/lib/api/http.ts","354","ts","frontend","normal","no-size-signal"
"web/src/features/conversation/room/group/chat/group-conversation-feed.tsx","354","tsx","frontend","normal","no-size-signal"
"internal/chat/room/visible_context_test.go","354","go","other","normal","no-size-signal"
"web/src/lib/api/room-api.ts","352","ts","frontend","normal","no-size-signal"
"internal/handler/shared/middleware_test.go","352","go","handler","normal","no-size-signal"
"web/src/features/agents/options/components/agent-options-skills-tab.tsx","349","tsx","frontend","normal","no-size-signal"
"web/src/hooks/agent/conversation-actions.ts","392","ts","frontend","normal","no-size-signal"
"web/src/features/conversation/shared/message/ui/message-primitives.tsx","346","tsx","frontend","normal","no-size-signal"
"internal/handler/auth/handlers_test.go","346","go","handler","normal","no-size-signal"
"web/src/features/conversation/room/workspace/use-room-workspace-controller.ts","345","ts","frontend","normal","no-size-signal"
"internal/service/channels/adapters/feishu_api.go","262","go","im-channel","normal","no-size-signal"
"internal/service/llm/client.go","228","go","service","normal","no-size-signal"
"internal/handler/core/handlers.go","344","go","handler","normal","no-size-signal"
"internal/handler/agent/handlers.go","210","go","handler","normal","no-size-signal"
"internal/cli/command_automation.go","348","go","entrypoint","normal","no-size-signal"
"internal/service/channels/adapters/discord.go","342","go","im-channel","normal","no-size-signal"
"web/src/features/conversation/shared/composer-attachments.ts","340","ts","frontend","normal","no-size-signal"
"internal/service/agent/builder_prompt.go","340","go","service","normal","no-size-signal"
"internal/runtime/permission/context.go","340","go","runtime","normal","no-size-signal"
"internal/service/room/directed_message.go","339","go","service","normal","no-size-signal"
"internal/runtime/permission/request.go","338","go","runtime","normal","no-size-signal"
"internal/service/room/chat.go","337","go","service","normal","no-size-signal"
"internal/service/channels/adapters/wecom_bot_socket.go","335","go","im-channel","normal","no-size-signal"
"internal/handler/websocket/registry_room_subscription.go","334","go","handler","normal","no-size-signal"
"web/src/features/conversation/shared/goal-panel.tsx","332","tsx","frontend","normal","no-size-signal"
"web/src/features/capability/scheduled/dialog/task-basics-panel.tsx","330","tsx","frontend","normal","no-size-signal"
"internal/runtime/mcp/connectors/tool/feishu_docx_test.go","328","go","connectors","normal","no-size-signal"
"internal/runtime/mcp/automation/internal/semantic/resolver.go","328","go","automation","normal","no-size-signal"
"internal/handler/memory/handlers.go","328","go","handler","normal","no-size-signal"
"internal/message/tool_result.go","327","go","other","normal","no-size-signal"
"internal/service/goalobjective/service_test.go","326","go","goal","normal","no-size-signal"
"internal/storage/postgres/repository_room_load.go","287","go","storage","normal","no-size-signal"
"internal/service/goal/service_test.go","325","go","goal","normal","no-size-signal"
"internal/service/conversation/attachment.go","325","go","service","normal","no-size-signal"
"internal/storage/sqlite/repository_room_load.go","286","go","storage","normal","no-size-signal"
"internal/runtime/mcp/automation/server_test.go","324","go","automation","normal","no-size-signal"
"internal/protocol/model_goal.go","324","go","protocol","normal","no-size-signal"
"internal/service/agent/service_crud.go","323","go","service","normal","no-size-signal"
"web/src/hooks/agent/agent-conversation-runtime-machine.ts","322","ts","frontend","normal","no-size-signal"
"web/src/features/capability/skills/skills-external-results.tsx","322","tsx","frontend","normal","no-size-signal"
"internal/storage/goal/repository_test.go","322","go","goal","normal","no-size-signal"
"internal/message/processor_workspace_artifact.go","320","go","other","normal","no-size-signal"
"web/src/features/home/home-sidebar-conversation-model.ts","318","ts","frontend","normal","no-size-signal"
"web/src/features/capability/connectors/connector-detail-view.tsx","317","tsx","frontend","normal","no-size-signal"
"internal/service/room/interrupt.go","317","go","service","normal","no-size-signal"
"internal/runtime/mcp/automation/tool/scope.go","317","go","automation","normal","no-size-signal"
"web/src/hooks/agent/conversation-volatile-snapshot.ts","316","ts","frontend","normal","no-size-signal"
"deploy/entrypoint.sh","315","shell","deploy","normal","no-size-signal"
"internal/service/skills/marketplace_search_sources.go","315","go","service","normal","no-size-signal"
"internal/service/channels/adapters/wecom_bot_ingress.go","314","go","im-channel","normal","no-size-signal"
"internal/service/toolpolicy/toolpolicy.go","313","go","service","normal","no-size-signal"
"internal/service/auth/service_test.go","313","go","service","normal","no-size-signal"
"internal/service/room/execution_slot_status.go","312","go","service","normal","no-size-signal"
"internal/automation/task_search.go","312","go","automation","normal","no-size-signal"
"internal/handler/core/handlers_test.go","311","go","handler","normal","no-size-signal"
"internal/service/connectors/service_oauth_config_test.go","312","go","connectors","normal","no-size-signal"
"internal/automation/execution_sink.go","310","go","automation","normal","no-size-signal"
"web/src/hooks/agent/websocket-event-handler.ts","421","ts","frontend","normal","no-size-signal"
"internal/cli/command_skill.go","306","go","entrypoint","normal","no-size-signal"
"internal/service/automation/service_task_crud.go","305","go","automation","normal","no-size-signal"
"internal/runtime/manager_client.go","303","go","runtime","normal","no-size-signal"
"web/src/features/conversation/shared/conversation-feed.tsx","302","tsx","frontend","normal","no-size-signal"
"internal/message/projection_result.go","302","go","other","normal","no-size-signal"
"web/src/lib/api/scheduled-task-api.ts","301","ts","frontend","normal","no-size-signal"
"internal/handler/websocket/handler_test.go","301","go","handler","normal","no-size-signal"
"internal/service/dm/goal_runtime.go","299","go","service","normal","no-size-signal"
"internal/service/channels/adapters/feishu_channel.go","298","go","im-channel","normal","no-size-signal"
"internal/service/connectors/service_oauth_flow.go","297","go","connectors","normal","no-size-signal"
"internal/connectors/feishudocx/client_document.go","297","go","connectors","normal","no-size-signal"
"web/src/hooks/capability/use-automation-controller.ts","296","ts","frontend","normal","no-size-signal"
"internal/service/automation/service_mcp_management_test.go","295","go","automation","normal","no-size-signal"
"web/src/pages/contacts/contacts-page.tsx","294","tsx","frontend","normal","no-size-signal"
"web/src/lib/api/agent-manage-api.ts","294","ts","frontend","normal","no-size-signal"
"internal/service/skills/service_catalog.go","294","go","service","normal","no-size-signal"
"internal/service/automation/service_mcp_delivery_test.go","294","go","automation","normal","no-size-signal"
"internal/service/automation/service_delivery_success_test.go","385","go","automation","normal","no-size-signal"
"web/src/features/capability/scheduled/dialog/use-scheduled-task-dialog-state.ts","293","ts","frontend","normal","no-size-signal"
"internal/service/channels/adapters/feishu_ingress.go","292","go","im-channel","normal","no-size-signal"
"internal/service/channels/service_control_login_test.go","292","go","im-channel","normal","no-size-signal"
"internal/service/channels/channel_session_delivery.go","290","go","im-channel","normal","no-size-signal"
"web/src/shared/ui/action-menu.tsx","289","tsx","frontend","normal","no-size-signal"
"web/src/features/conversation/shared/message/markdown/mermaid-svg-postprocess.ts","288","ts","frontend","normal","no-size-signal"
"desktop/macos/Sources/NexusDesktop/Bridge/DesktopBridgeHandler.swift","287","swift","desktop","normal","no-size-signal"
"web/src/shared/ui/sidebar/collapsible-section.tsx","286","tsx","frontend","normal","no-size-signal"
"web/src/lib/api/channel-api.ts","286","ts","frontend","normal","no-size-signal"
"internal/handler/skill/handlers.go","286","go","handler","normal","no-size-signal"
"internal/storage/workspace/store_input_queue.go","285","go","storage","normal","no-size-signal"
"internal/config/loadenv_test.go","285","go","other","normal","no-size-signal"
"internal/storage/workspace/store_agent_history_round_marker_test.go","284","go","storage","normal","no-size-signal"
"internal/service/dm/service_input_queue.go","284","go","service","normal","no-size-signal"
"internal/service/automation/runtime_state.go","284","go","automation","normal","no-size-signal"
"internal/storage/workspace/store_room_directed_message.go","283","go","storage","normal","no-size-signal"
"internal/service/goal/service_continuation.go","283","go","goal","normal","no-size-signal"
"desktop/macos/Sources/NexusDesktop/AppDelegate.swift","283","swift","desktop","normal","no-size-signal"
"web/src/hooks/capability/use-connector-controller.ts","282","ts","frontend","normal","no-size-signal"
"internal/service/goal/service_appserver.go","282","go","goal","normal","no-size-signal"
"internal/service/automation/service_observability_daily_report.go","281","go","automation","normal","no-size-signal"
"internal/service/launcher/service_test.go","280","go","service","normal","no-size-signal"
"web/src/shared/ui/dialog/dialog.tsx","279","tsx","frontend","normal","no-size-signal"
"web/src/features/conversation/shared/message/item/message-item-support.ts","279","ts","frontend","normal","no-size-signal"
"internal/service/provider/service_model_card.go","279","go","service","normal","no-size-signal"
"internal/runtime/mcp/automation/tool/current_context_query.go","279","go","automation","normal","no-size-signal"
"web/src/store/sidebar.ts","278","ts","frontend","normal","no-size-signal"
".github/monitor/monitor.sh","276","shell","other","normal","no-size-signal"
"web/src/lib/api/skill-api.ts","275","ts","frontend","normal","no-size-signal"
"internal/service/workspace/initializer_test.go","275","go","service","normal","no-size-signal"
"web/src/features/conversation/room/group/thread/group-agent-status-card.tsx","274","tsx","frontend","normal","no-size-signal"
"internal/service/provider/service_model_selection.go","274","go","service","normal","no-size-signal"
"internal/service/automation/runtime_script.go","274","go","automation","normal","no-size-signal"
"web/src/shared/ui/dialog/confirm-dialog.tsx","273","tsx","frontend","normal","no-size-signal"
"web/src/pages/login/login-page.tsx","272","tsx","frontend","normal","no-size-signal"
"web/scripts/export-liquid-glass-assets.mjs","272","js","frontend","normal","no-size-signal"
"internal/service/channels/adapters/personal_weixin_client.go","272","go","im-channel","normal","no-size-signal"
"internal/service/auth/service_user.go","272","go","service","normal","no-size-signal"
"internal/service/room/input_queue_dispatch.go","271","go","service","normal","no-size-signal"
"web/src/features/conversation/shared/composer-pending-queue.tsx","270","tsx","frontend","normal","no-size-signal"
"internal/service/channels/service_ingress_ledger.go","270","go","im-channel","normal","no-size-signal"
"internal/service/channels/message/model.go","270","go","im-channel","normal","no-size-signal"
"internal/handler/shared/api.go","266","go","handler","normal","no-size-signal"
"internal/connectors/feishudocx/client_test.go","266","go","connectors","normal","no-size-signal"
"internal/service/automation/service_delivery_retry_test.go","248","go","automation","normal","no-size-signal"
"internal/service/room/goal_continuation_test.go","264","go","service","normal","no-size-signal"
"web/src/shared/theme/theme-overlay.tsx","263","tsx","frontend","normal","no-size-signal"
"web/src/shared/ui/liquid-glass/glass-switch.tsx","262","tsx","frontend","normal","no-size-signal"
"web/src/features/capability/scheduled/dialog/scheduled-task-dialog-submit.ts","262","ts","frontend","normal","no-size-signal"
"internal/service/channels/adapters/personal_weixin_channel.go","262","go","im-channel","normal","no-size-signal"
"internal/service/skills/frontmatter.go","261","go","service","normal","no-size-signal"
"web/src/types/agent/agent-conversation.ts","272","ts","frontend","normal","no-size-signal"
"web/src/shared/ui/liquid-glass/liquid-glass-engine.ts","260","ts","frontend","normal","no-size-signal"
